Workload,Architecture,Samples,InternalW,CellSwitchingW,LeakageW,EncoderCellTotalW,OutputLoadSwitchingW,RawOpenSTATotalW,UnannotatedPins
zero_activity,normal,8,0.0,0,0.0,0.0,0.0,0.0,0
localized,normal,128,0.0,0,0.0,0.0,3.554375e-06,0.0,0
single_bit_walk,normal,16,0.0,0,0.0,0.0,1.21e-06,0.0,0
random_seed_12345678,normal,1024,0.0,0,0.0,0.0,9.58310546875e-06,0.0,0
random_seed_deadbeef,normal,1024,0.0,0,0.0,0.0,9.707177734375002e-06,0.0,0
random_seed_cafebabe,normal,1024,0.0,0,0.0,0.0,9.661093750000001e-06,0.0,0
random_seed_31415926,normal,1024,0.0,0,0.0,0.0,9.73908203125e-06,0.0,0
correlated,normal,1024,0.0,0,0.0,0.0,8.271484375000001e-07,0.0,0
bursty,normal,1024,0.0,0,0.0,0.0,1.5881250000000001e-06,0.0,0
zero_activity,global,8,1.426262133e-05,0,4.535706012e-06,1.8798327342e-05,0.0,1.87983278e-05,0
localized,global,128,2.366469016e-05,6.717270810000001e-06,4.543761861e-06,3.4925722831e-05,3.554375e-06,3.848009874e-05,0
single_bit_walk,global,16,2.082835636e-05,7.841012967e-06,4.407901088e-06,3.3077270415e-05,1.21e-06,3.428726995e-05,0
random_seed_12345678,global,1024,3.361767449e-05,1.4932686306874997e-05,4.481813903e-06,5.3032174699875e-05,8.362470703125002e-06,6.139464676e-05,0
random_seed_deadbeef,global,1024,3.3720793e-05,1.5103164383124999e-05,4.480789357e-06,5.3304746740125e-05,8.369560546875e-06,6.167430547e-05,0
random_seed_cafebabe,global,1024,3.36945086e-05,1.497182189875e-05,4.484926194e-06,5.315125669275e-05,8.37783203125e-06,6.152909191e-05,0
random_seed_31415926,global,1024,3.368664329e-05,1.4990033084374997e-05,4.488114882e-06,5.3164791256375e-05,8.386103515625002e-06,6.155089795e-05,0
correlated,global,1024,1.067014364e-05,2.08378954875e-06,4.512726719e-06,1.726665990775e-05,7.302539062500001e-07,1.799691381e-05,0
bursty,global,1024,1.37805082e-05,3.8155344711249996e-06,4.49521167e-06,2.2091254341125e-05,1.5444042968750002e-06,2.363565909e-05,0
zero_activity,seg8,8,1.510159927e-05,0,5.067226539e-06,2.0168825809e-05,0.0,2.016882536e-05,0
localized,seg8,128,2.244113603e-05,7.026669990000001e-06,5.142752798e-06,3.4610558818e-05,3.554375e-06,3.816493336e-05,0
single_bit_walk,seg8,16,1.55847174e-05,3.18110454e-06,5.026938652e-06,2.3792760592e-05,1.21e-06,2.500276059e-05,0
random_seed_12345678,seg8,1024,3.448109055e-05,1.8381394928125e-05,4.968781013e-06,5.7831266491124994e-05,8.189951171875001e-06,6.602121721e-05,0
random_seed_deadbeef,seg8,1024,3.47737041e-05,1.8608535258125e-05,4.965891094e-06,5.834813045212499e-05,8.265576171875001e-06,6.661370571e-05,0
random_seed_cafebabe,seg8,1024,3.446969276e-05,1.8325514250625e-05,4.970702776e-06,5.7765909786625e-05,8.166318359375001e-06,6.593222497e-05,0
random_seed_31415926,seg8,1024,3.462630411e-05,1.8600298769999997e-05,4.968772373e-06,5.8195375253e-05,8.167500000000001e-06,6.636287435e-05,0
correlated,seg8,1024,1.040845564e-05,1.881904377375e-06,4.975351658e-06,1.7265711675374998e-05,7.385253906250001e-07,1.800423706e-05,0
bursty,seg8,1024,1.281898767e-05,3.3846726474999997e-06,4.963327683e-06,2.11669880005e-05,1.5266796875000002e-06,2.269366814e-05,0
zero_activity,seg4,8,1.677955515e-05,0,3.72486511e-06,2.050442026e-05,0.0,2.050441981e-05,0
localized,seg4,128,1.487661484e-05,1.731755826e-06,3.890167591e-06,2.0498538257e-05,1.5786718750000002e-06,2.2077209e-05,0
single_bit_walk,seg4,16,1.569274173e-05,1.223003374e-06,3.875559287e-06,2.0791304391e-05,1.21e-06,2.200130439e-05,0
random_seed_12345678,seg4,1024,2.673344898e-05,7.082413176874998e-06,3.85525027e-06,3.7671112426875e-05,8.173408203125001e-06,4.584452108e-05,0
random_seed_deadbeef,seg4,1024,2.682251761e-05,7.170235431249998e-06,3.853383532e-06,3.784613657325e-05,8.165136718750001e-06,4.601127148e-05,0
random_seed_cafebabe,seg4,1024,2.684435094e-05,7.150225925624997e-06,3.853572707e-06,3.7848149572625e-05,8.194677734375002e-06,4.604282731e-05,0
random_seed_31415926,seg4,1024,2.683704406e-05,7.171841354999999e-06,3.85395424e-06,3.7862839655e-05,8.176953125e-06,4.603979323e-05,0
correlated,seg4,1024,1.055755456e-05,6.522135597499999e-07,3.846802429e-06,1.5056570548749999e-05,7.397070312500002e-07,1.57962786e-05,0
bursty,seg4,1024,1.178368075e-05,1.1829974379999998e-06,3.854755505e-06,1.6821433692999997e-05,1.3423437500000004e-06,1.816377699e-05,0
zero_activity,seg2,8,2.013546691e-05,0,3.774474408e-06,2.3909941318e-05,0.0,2.390994086e-05,0
localized,seg2,128,1.712015182e-05,9.001551939999993e-07,4.013694252e-06,2.2034001266e-05,2.2876562500000005e-06,2.43216582e-05,0
single_bit_walk,seg2,16,2.040294385e-05,7.974575919999995e-07,3.933194876e-06,2.5133596318000002e-05,1.8150000000000004e-06,2.694859722e-05,0
random_seed_12345678,seg2,1024,2.694539035e-05,4.021694211875e-06,4.179166353e-06,3.5146250914875e-05,8.485361328125e-06,4.363161133e-05,0
random_seed_deadbeef,seg2,1024,2.695182229e-05,4.030977958749999e-06,4.193452241e-06,3.517625248975e-05,8.52908203125e-06,4.370533497e-05,0
random_seed_cafebabe,seg2,1024,2.689656503e-05,4.036015628124998e-06,4.190903383e-06,3.5123484041124994e-05,8.435732421875002e-06,4.355921919e-05,0
