Workload,Architecture,SegmentSize,FlagBits,DataTransitions,FlagTransitions,TotalTransitions,Inversions,DataReductionPct,TotalReductionPct
zero_activity,normal,16,0,0,0,0,0,N/A,N/A
zero_activity,slot0,16,1,0,0,0,0,N/A,N/A
zero_activity,slot1,16,1,0,0,0,0,N/A,N/A
zero_activity,slot2,8,2,0,0,0,0,N/A,N/A
zero_activity,slot3,4,4,0,0,0,0,N/A,N/A
zero_activity,slot4,2,8,0,0,0,0,N/A,N/A
directed_and_ties,normal,16,0,135,0,135,0,0.00,0.00
directed_and_ties,slot0,16,1,55,6,61,20,59.26,54.81
directed_and_ties,slot1,16,1,55,6,61,20,59.26,54.81
directed_and_ties,slot2,8,2,55,12,67,40,59.26,50.37
directed_and_ties,slot3,4,4,55,28,83,44,59.26,38.52
directed_and_ties,slot4,2,8,39,71,110,96,71.11,18.52
localized,normal,16,0,376,0,376,0,0.00,0.00
localized,slot0,16,1,376,0,376,0,0.00,0.00
localized,slot1,16,1,376,0,376,0,0.00,0.00
localized,slot2,8,2,376,0,376,0,0.00,0.00
localized,slot3,4,4,76,91,167,152,79.79,55.59
localized,slot4,2,8,44,198,242,300,88.30,35.64
single_bit_walk,normal,16,0,16,0,16,0,0.00,0.00
single_bit_walk,slot0,16,1,16,0,16,16,0.00,0.00
single_bit_walk,slot1,16,1,16,0,16,16,0.00,0.00
single_bit_walk,slot2,8,2,16,0,16,32,0.00,0.00
single_bit_walk,slot3,4,4,16,0,16,64,0.00,0.00
single_bit_walk,slot4,2,8,16,8,24,56,0.00,-50.00
random_seed_12345678,normal,16,0,8110,0,8110,0,0.00,0.00
random_seed_12345678,slot0,16,1,6604,473,7077,418,18.57,12.74
random_seed_12345678,slot1,16,1,6604,473,7077,418,18.57,12.74
random_seed_12345678,slot2,8,2,6006,925,6931,716,25.94,14.54
random_seed_12345678,slot3,4,4,5196,1721,6917,1261,35.93,14.71
random_seed_12345678,slot4,2,8,4144,3037,7181,2002,48.90,11.45
random_seed_deadbeef,normal,16,0,8215,0,8215,0,0.00,0.00
random_seed_deadbeef,slot0,16,1,6563,520,7083,419,20.11,13.78
random_seed_deadbeef,slot1,16,1,6563,520,7083,419,20.11,13.78
random_seed_deadbeef,slot2,8,2,6021,974,6995,752,26.71,14.85
random_seed_deadbeef,slot3,4,4,5135,1775,6910,1330,37.49,15.89
random_seed_deadbeef,slot4,2,8,4113,3105,7218,2076,49.93,12.14
random_seed_cafebabe,normal,16,0,8176,0,8176,0,0.00,0.00
random_seed_cafebabe,slot0,16,1,6606,484,7090,398,19.20,13.28
random_seed_cafebabe,slot1,16,1,6606,484,7090,398,19.20,13.28
random_seed_cafebabe,slot2,8,2,5972,939,6911,741,26.96,15.47
random_seed_cafebabe,slot3,4,4,5196,1739,6935,1285,36.45,15.18
random_seed_cafebabe,slot4,2,8,4164,2975,7139,2011,49.07,12.68
random_seed_31415926,normal,16,0,8242,0,8242,0,0.00,0.00
random_seed_31415926,slot0,16,1,6604,493,7097,391,19.87,13.89
random_seed_31415926,slot1,16,1,6604,493,7097,391,19.87,13.89
random_seed_31415926,slot2,8,2,5986,926,6912,730,27.37,16.14
random_seed_31415926,slot3,4,4,5136,1784,6920,1306,37.69,16.04
random_seed_31415926,slot4,2,8,4084,3119,7203,2121,50.45,12.61
correlated,normal,16,0,700,0,700,0,0.00,0.00
correlated,slot0,16,1,592,26,618,411,15.43,11.71
correlated,slot1,16,1,592,26,618,411,15.43,11.71
correlated,slot2,8,2,572,53,625,658,18.29,10.71
correlated,slot3,4,4,530,96,626,1265,24.29,10.57
correlated,slot4,2,8,488,179,667,1227,30.29,4.71
bursty,normal,16,0,1344,0,1344,0,0.00,0.00
bursty,slot0,16,1,1288,19,1307,480,4.17,2.75
bursty,slot1,16,1,1288,19,1307,480,4.17,2.75
bursty,slot2,8,2,1244,48,1292,637,7.44,3.87
bursty,slot3,4,4,850,286,1136,1369,36.76,15.48
bursty,slot4,2,8,700,504,1204,1571,47.92,10.42
